"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2025-03-07","all EP passes",Meetings,"Lobbyfacts URL"
083671317381-09,"Covington & Burling LLP",10.1,1635000,"Advances interests of their clients","UNITED STATES",BELGIUM,1,36,22,https://www.lobbyfacts.eu/datacard/covington--burling-llp?rid=083671317381-09
5067624792-06,"logos public affairs",24.65,1585000,"Advances interests of their clients",BELGIUM,BELGIUM,18,158,8,https://www.lobbyfacts.eu/datacard/logos-public-affairs?rid=5067624792-06
03013154889-05,"Afore Consulting",2.15,1515000,"Advances interests of their clients",BELGIUM,BELGIUM,8,188,47,https://www.lobbyfacts.eu/datacard/afore-consulting?rid=03013154889-05
04437556781-76,"Bristol-Myers Squibb Company",2.85,1500000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,5,62,2,https://www.lobbyfacts.eu/datacard/bristol-myers-squibb-company?rid=04437556781-76
08957111909-85,"Connect Europe",6.75,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,67,92,https://www.lobbyfacts.eu/datacard/connect-europe?rid=08957111909-85
165202837974-32,"TikTok Technology Ltd",5.4,1500000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,3,13,41,https://www.lobbyfacts.eu/datacard/tiktok-technology-ltd?rid=165202837974-32
16822412339-79,"Syngenta Crop Protection AG",1.85,1500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,3,47,26,https://www.lobbyfacts.eu/datacard/syngenta-crop-protection-ag?rid=16822412339-79
19920706471-21,WindEurope,11.75,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,13,96,118,https://www.lobbyfacts.eu/datacard/windeurope?rid=19920706471-21
2680046412-48,"EPIA SolarPower Europe",14.35,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,12,81,112,https://www.lobbyfacts.eu/datacard/epia-solarpower-europe?rid=2680046412-48
296711210890-30,"Investment Company Institute",4.4,1500000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,5,38,33,https://www.lobbyfacts.eu/datacard/investment-company-institute?rid=296711210890-30
335646192149-11,"Direction des Services de la Navigation Aérienne",0.5,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/direction-des-services-de-la-navigation-aérienne?rid=335646192149-11
400736830441-25,"Vereniging van de Nederlandse Pluimveeverwerkende Industrie",7.5,1500000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,4,https://www.lobbyfacts.eu/datacard/vereniging-van-de-nederlandse-pluimveeverwerkende-industrie?rid=400736830441-25
4172526951-19,"European Association of Co-operative Banks",6,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,11,147,27,https://www.lobbyfacts.eu/datacard/european-association-of-co-operative-banks?rid=4172526951-19
433743725252-26,"MedTech Europe",3.1,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,3,44,48,https://www.lobbyfacts.eu/datacard/medtech-europe?rid=433743725252-26
45013506457-28,"TÜV-Verband e. V.",11,1500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,2,47,3,https://www.lobbyfacts.eu/datacard/tüv-verband-e-v?rid=45013506457-28
479468313744-50,Ibec,10.8,1500000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,4,25,59,https://www.lobbyfacts.eu/datacard/ibec?rid=479468313744-50
494613715191-85,"Cisco Systems Inc.",4.5,1500000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,3,21,84,https://www.lobbyfacts.eu/datacard/cisco-systems-inc?rid=494613715191-85
51894741860-19,"Nederlandse Vereniging van Banken / Dutch Banking Association",8.25,1500000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,4,23,10,https://www.lobbyfacts.eu/datacard/nederlandse-vereniging-van-banken---dutch-banking-association?rid=51894741860-19
5265780509-97,"American Chamber of Commerce to the European Union",10.7,1500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,15,136,188,https://www.lobbyfacts.eu/datacard/american-chamber-of-commerce-to-the-european-union?rid=5265780509-97
603938091767-23,"European Telecommunications Standards Institute",2,1500000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/european-telecommunications-standards-institute?rid=603938091767-23
6256831207-27,"ENEL SpA",6.5,1500000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,7,103,134,https://www.lobbyfacts.eu/datacard/enel-spa?rid=6256831207-27
823386117127-26,"LOW Associates Brussels",8.3,1500000,"Advances interests of their clients",BELGIUM,BELGIUM,3,9,1,https://www.lobbyfacts.eu/datacard/low-associates-brussels?rid=823386117127-26
96816064173-47,"BVI Bundesverband Investment und Asset Management e.V.",12.35,1500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,52,30,https://www.lobbyfacts.eu/datacard/bvi-bundesverband-investment-und-asset-management-ev?rid=96816064173-47
68037017809-51,"Edelman Public Relations Worldwide",25,1445000,"Advances interests of their clients",BELGIUM,BELGIUM,21,181,25,https://www.lobbyfacts.eu/datacard/edelman-public-relations-worldwide?rid=68037017809-51
7223777790-86,"Portland PR Europe Limited",12.25,1360000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,11,313,49,https://www.lobbyfacts.eu/datacard/portland-pr-europe-limited?rid=7223777790-86
0014082722-83,"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",25,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,11,109,87,https://www.lobbyfacts.eu/datacard/eurochambres-–-association-of-european-chambers-of-commerce-and-industry?rid=0014082722-83
06093891220-52,"MAN Truck & Bus SE",8.25,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,1,8,20,https://www.lobbyfacts.eu/datacard/man-truck--bus-se?rid=06093891220-52
07691616536-09,"UPS Europe SRL/BV",3,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,4,72,18,https://www.lobbyfacts.eu/datacard/ups-europe-srl-bv?rid=07691616536-09
09824113589-92,"Merck Sharp & Dohme Europe Belgium SRL",3.25,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,16,95,20,https://www.lobbyfacts.eu/datacard/merck-sharp--dohme-europe-belgium-srl?rid=09824113589-92
1095068839-59,"Ingka Services A.B.",6.05,1250000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,4,65,35,https://www.lobbyfacts.eu/datacard/ingka-services-ab?rid=1095068839-59
13324391892-74,"EnBW Energie Baden-Württemberg AG",6,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,61,24,https://www.lobbyfacts.eu/datacard/enbw-energie-baden-württemberg-ag?rid=13324391892-74
1413466815-09,"Manufacture Française des Pneumatiques Michelin",3.25,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,50,44,https://www.lobbyfacts.eu/datacard/manufacture-française-des-pneumatiques-michelin?rid=1413466815-09
170823739840-85,"Politechnika Rzeszowska im. Ignacego Lukasiewicza",3,1250000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,,,2,https://www.lobbyfacts.eu/datacard/politechnika-rzeszowska-im-ignacego-lukasiewicza?rid=170823739840-85
179370613236-62,BPCE,2.7,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,3,15,28,https://www.lobbyfacts.eu/datacard/bpce?rid=179370613236-62
19093363838-48,"Platform for International Cooperation on Undocumented Migrants",8,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,109,17,https://www.lobbyfacts.eu/datacard/platform-for-international-cooperation-on-undocumented-migrants?rid=19093363838-48
215793594746-74,"Anna Lindh Foundation for Dialogue between Cultures",6,1250000,"Promotes their own interests or the collective interests of their members",EGYPT,EGYPT,,,2,https://www.lobbyfacts.eu/datacard/anna-lindh-foundation-for-dialogue-between-cultures?rid=215793594746-74
23527541824-60,ArcelorMittal,5.5,1250000,"Promotes their own interests or the collective interests of their members",LUXEMBOURG,BELGIUM,3,35,128,https://www.lobbyfacts.eu/datacard/arcelormittal?rid=23527541824-60
284628150205-20,"Daiichi Sankyo Europe GmbH",1.5,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/daiichi-sankyo-europe-gmbh?rid=284628150205-20
302141215278-05,"Association of Cities and Regions for sustainable Resource management",13.85,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,40,,https://www.lobbyfacts.eu/datacard/association-of-cities-and-regions-for-sustainable-resource-management?rid=302141215278-05
34369111614-57,"Société Générale",1.95,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,2,27,66,https://www.lobbyfacts.eu/datacard/société-générale?rid=34369111614-57
358284014848-82,"industriAll European Trade Union",24.5,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,10,59,78,https://www.lobbyfacts.eu/datacard/industriall-european-trade-union?rid=358284014848-82
36423781099-10,AXA,4.6,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,16,22,https://www.lobbyfacts.eu/datacard/axa?rid=36423781099-10
389275311163-19,"Drax Group plc",1.85,1250000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",1,10,13,https://www.lobbyfacts.eu/datacard/drax-group-plc?rid=389275311163-19
4016736872-59,"General Electric Company",2.2,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,5,76,108,https://www.lobbyfacts.eu/datacard/general-electric-company?rid=4016736872-59
4263301811-33,"Pfizer Inc.",2.5,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,5,56,19,https://www.lobbyfacts.eu/datacard/pfizer-inc?rid=4263301811-33
479234015862-06,"France Digitale",10.25,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,7,18,https://www.lobbyfacts.eu/datacard/france-digitale?rid=479234015862-06
49654992078-52,Merck,3.25,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,54,17,https://www.lobbyfacts.eu/datacard/merck?rid=49654992078-52
5189667783-94,"Zentralverband des Deutschen Handwerks e.V.",14,1250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,8,97,66,https://www.lobbyfacts.eu/datacard/zentralverband-des-deutschen-handwerks-ev?rid=5189667783-94
55820581197-35,"SMEunited aisbl",10.75,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,6,68,163,https://www.lobbyfacts.eu/datacard/smeunited-aisbl?rid=55820581197-35
57868523887-16,"European Disability Forum",19,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,13,117,41,https://www.lobbyfacts.eu/datacard/european-disability-forum?rid=57868523887-16
600525713796-88,"Assicurazioni Generali S.p.A",3.95,1250000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,3,43,28,https://www.lobbyfacts.eu/datacard/assicurazioni-generali-spa?rid=600525713796-88
60975211600-74,"Invest Europe",4.5,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,5,70,32,https://www.lobbyfacts.eu/datacard/invest-europe?rid=60975211600-74
62722978644-95,"European Association of Mining Industries, Metal Ores & Industrial Minerals",8.25,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,44,33,https://www.lobbyfacts.eu/datacard/european-association-of-mining-industries-metal-ores--industrial-minerals?rid=62722978644-95
69678928900-56,"FIGIEFA - Fédération Internationale des Grossistes, Importateurs & Exportateurs en Fournitures Automobiles / International Federation of Automotive Distributors",4.2,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,55,21,https://www.lobbyfacts.eu/datacard/figiefa---fédération-internationale-des-grossistes-importateurs--exportateurs-en-fournitures-automobiles---international-federation-of-automotive-distributors?rid=69678928900-56
76704342721-41,Orange,6.5,1250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,6,80,113,https://www.lobbyfacts.eu/datacard/orange?rid=76704342721-41
800366350392-17,"CFA Institute",3,1250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,,,3,https://www.lobbyfacts.eu/datacard/cfa-institute?rid=800366350392-17
807912421050-91,"Airlines for Europe",6,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,8,71,66,https://www.lobbyfacts.eu/datacard/airlines-for-europe?rid=807912421050-91
823871417098-42,"Airbnb Ireland UC",6.85,1250000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,4,14,26,https://www.lobbyfacts.eu/datacard/airbnb-ireland-uc?rid=823871417098-42
92427248029-55,"Romanian Airports Association",4.25,1250000,"Promotes their own interests or the collective interests of their members",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/romanian-airports-association?rid=92427248029-55
93288301615-56,"EBU-UER (European Broadcasting Union)",10,1250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,7,81,70,https://www.lobbyfacts.eu/datacard/ebu-uer-european-broadcasting-union?rid=93288301615-56
99578067285-35,"Eni S.p.A.",5.6,1250000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,8,93,84,https://www.lobbyfacts.eu/datacard/eni-spa?rid=99578067285-35
556944435357-74,Fourtold,11.25,1205000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,15,47,,https://www.lobbyfacts.eu/datacard/fourtold?rid=556944435357-74
207783440380-27,"Shearwater Global",8.35,1145000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,7,24,4,https://www.lobbyfacts.eu/datacard/shearwater-global?rid=207783440380-27
